Sample index	Multipacting max (uA)	Pressure max (mBar)	P transmise moy (W)	NI9205_Power1	NI9205_Power2	NI9205_Arc2	NI9205_dBm	NI9205_TTi	NI9205_Keithley	NI9205_Spellman	T1	T2	T3	T4	Folder :	250618-175849-MesureE7-160MHz
1	0,000000000E+0	0,000000000E+0	8,915725378E-1	2,814820707E+0	1,923248170E+0	2,996002315E+0	-2,000000000E+1	NaN	NaN	0,000000000E+0	18,38	1413,10	18,36	18,48	E1 att:	-77,20000
2	0,000000000E+0	0,000000000E+0	9,427173930E-1	3,109927806E+0	2,167210413E+0	2,994689260E+0	-2,000000000E+1	NaN	NaN	0,000000000E+0	18,39	1413,10	18,35	18,49	E1 a:	10,30171
3	0,000000000E+0	0,000000000E+0	9,427173930E-1	3,109927806E+0	2,167210413E+0	2,995674051E+0	-2,000000000E+1	NaN	NaN	0,000000000E+0	18,40	1413,10	18,36	18,47	E1 b:	-51,73648
4	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,994032732E+0	-2,000000000E+1	NaN	NaN	0,000000000E+0	18,40	1413,10	18,35	18,48	E2 att:	-77,40000
5	0,000000000E+0	0,000000000E+0	9,427173930E-1	3,109927806E+0	2,167210413E+0	2,994032732E+0	-2,000000000E+1	NaN	NaN	0,000000000E+0	18,41	1413,10	18,36	18,48	E2 a:	10,25929
6	0,000000000E+0	0,000000000E+0	4,016335511E-1	2,814820707E+0	2,413187156E+0	2,026969051E+0	-3,000000000E+1	NaN	NaN	0,000000000E+0	18,40	1413,10	18,36	18,49	E2 b:	-51,24233
7	0,000000000E+0	0,000000000E+0	1,065264523E-1	2,519713609E+0	2,413187156E+0	2,123150065E+0	-2,900000000E+1	NaN	NaN	0,000000000E+0	18,38	1413,10	18,36	18,48	E3 att:	-77,20000
8	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,226881155E+0	-2,800000000E+1	NaN	NaN	0,000000000E+0	18,39	1413,10	18,36	18,48	E3 a:	10,32683
9	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,326673120E+0	-2,700000000E+1	NaN	NaN	0,000000000E+0	18,40	1413,10	18,35	18,48	E3 b:	-51,58608
10	0,000000000E+0	0,000000000E+0	3,525031956E-1	2,519713609E+0	2,167210413E+0	2,428106433E+0	-2,600000000E+1	NaN	NaN	0,000000000E+0	18,39	1413,10	18,35	18,46	E4 att:	-76,80000
11	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,521661459E+0	-2,500000000E+1	NaN	NaN	0,000000000E+0	18,39	1413,10	18,36	18,50	E4 a:	10,29834
12	0,000000000E+0	0,000000000E+0	8,915725378E-1	2,814820707E+0	1,923248170E+0	2,606681666E+0	-2,400000000E+1	NaN	NaN	0,000000000E+0	18,39	1413,10	18,36	18,47	E4 b:	-51,48216
13	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,703191120E+0	-2,300000000E+1	NaN	NaN	0,000000000E+0	18,39	1413,10	18,34	18,47	E5 att:	-76,90000
14	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,798387551E+0	-2,200000000E+1	NaN	NaN	0,000000000E+0	18,38	1413,10	18,36	18,46	E5 a:	10,28806
15	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,899492761E+0	-2,100000000E+1	NaN	NaN	0,000000000E+0	18,39	1413,10	18,36	18,47	E5 b:	-51,33708
16	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	2,996002315E+0	-2,000000000E+1	NaN	NaN	0,000000000E+0	18,39	1413,10	18,35	18,46	E6 att:	-78,20000
17	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	3,090214056E+0	-1,900000000E+1	NaN	NaN	0,000000000E+0	18,41	1413,10	18,35	18,47	E6 a:	10,32523
18	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	3,177532285E+0	-1,800000000E+1	NaN	NaN	0,000000000E+0	18,40	1413,10	18,35	18,46	E6 b:	-51,47335
19	0,000000000E+0	0,000000000E+0	6,476102944E-1	2,814820707E+0	2,167210413E+0	3,278309375E+0	-1,700000000E+1	NaN	NaN	0,000000000E+0	18,41	1413,10	18,34	18,47	E7 att:	-76,60000
